iter	MultiClass
0	2.079651067
1	1.86241111
2	1.721023761
3	1.618267471
4	1.53869242
5	1.475041911
6	1.420124447
7	1.375131076
8	1.336484402
9	1.305389447
10	1.276877109
11	1.251363489
12	1.227740265
13	1.203708061
14	1.182698682
15	1.161328673
16	1.142214962
17	1.125886645
18	1.113242283
19	1.098128164
20	1.083292015
21	1.069247732
22	1.05680649
23	1.045148553
24	1.034625099
25	1.024245595
26	1.014401763
27	1.003527404
28	0.9905333702
29	0.9782836743
30	0.9689599678
31	0.959546549
32	0.9483001923
33	0.9391791944
34	0.9280700769
35	0.9205191121
36	0.9118350335
37	0.9032862766
38	0.8933897813
39	0.8842016019
40	0.8774793456
41	0.8714446551
42	0.8624893852
43	0.855672075
44	0.8480298228
45	0.8398981252
46	0.8332634582
47	0.8263646536
48	0.8180200435
49	0.8108964789
50	0.8054702566
51	0.7986679441
52	0.7919387026
53	0.7841213403
54	0.7781957426
55	0.7732026045
56	0.7685125022
57	0.7624025492
58	0.7567325287
59	0.7513975938
60	0.7459888346
61	0.7375017121
62	0.7331788137
63	0.7286427288
64	0.7223467085
65	0.7164605567
66	0.7125708111
67	0.7075293928
68	0.7022452035
69	0.6972092638
70	0.691329207
71	0.6867460061
72	0.6822251928
73	0.6770728327
74	0.6727539062
75	0.6683019181
76	0.6636209924
77	0.6590449137
78	0.654127038
79	0.6497455185
80	0.6438903894
81	0.6392483619
82	0.6338873351
83	0.6288887184
84	0.6250000685
85	0.6204611073
86	0.6165696496
87	0.6122011417
88	0.6084802743
89	0.603123014
90	0.5992298442
91	0.595856937
92	0.5913592709
93	0.5881916062
94	0.5842673453
95	0.581461269
96	0.5782739498
97	0.5743992702
98	0.5715764499
99	0.5675870962
100	0.5638833152
101	0.5595941787
102	0.5560674595
103	0.5531479074
104	0.5492932591
105	0.5466050757
106	0.5439645219
107	0.5401685974
108	0.5373288961
109	0.5345317225
110	0.5316539791
111	0.5289645972
112	0.5255108805
113	0.5215505292
114	0.518116878
115	0.5151394238
116	0.5122024772
117	0.5092245779
118	0.5055478132
119	0.5023885719
120	0.4996740569
121	0.4980039021
122	0.4953760177
123	0.4923950367
124	0.4898673423
125	0.486751382
126	0.4843580163
127	0.48154314
128	0.4785316157
129	0.475378709
130	0.4732032209
131	0.4713112851
132	0.468208405
133	0.4654303381
134	0.4635645969
135	0.4608045409
136	0.4585969687
137	0.4564269249
138	0.4534736451
139	0.4516201966
140	0.4485146457
141	0.4460645079
142	0.4435509552
143	0.441160774
144	0.4384946762
145	0.4364328692
146	0.434015021
147	0.4324175264
148	0.4310198298
149	0.4292682493
150	0.4267987994
151	0.4241684495
152	0.4217957998
153	0.4204713113
154	0.4183456442
155	0.416371906
156	0.4139927847
157	0.4126526478
158	0.4108671683
159	0.4083278661
160	0.4064616114
161	0.4046234345
162	0.4024399339
163	0.4002826279
164	0.3981283693
165	0.3964277056
166	0.3948326764
167	0.3928844136
168	0.3907486454
169	0.3887020074
170	0.3871098201
171	0.3853890225
172	0.383987354
173	0.3827552485
174	0.3808574232
175	0.3790026736
176	0.3771800422
177	0.3761080834
178	0.3746326933
179	0.3727467498
180	0.3714801633
181	0.3702285403
182	0.3680230567
183	0.3663305424
184	0.3648985361
185	0.3633191894
186	0.3616947468
187	0.3600974919
188	0.3586413797
189	0.3568534691
190	0.355466627
191	0.3537604505
192	0.3519878799
193	0.3505855266
194	0.3488270635
195	0.3461732583
196	0.3441038841
197	0.3431331426
198	0.3418953873
199	0.340983267
200	0.3395015765
201	0.3380528604
202	0.3370544862
203	0.3359663312
204	0.3342191677
205	0.3332863657
206	0.3319162676
207	0.3306171519
208	0.3290973166
209	0.3279223599
210	0.3262635733
211	0.3255138938
212	0.324314249
213	0.3230631396
214	0.3223205481
215	0.3212688601
216	0.3195923708
217	0.3180203859
218	0.3164527497
219	0.3145611906
220	0.3132816609
221	0.3122508601
222	0.3109072649
223	0.3092151273
224	0.3078556783
225	0.3072424847
226	0.305819792
227	0.3048241571
228	0.3040112681
229	0.3026820543
230	0.3016801874
231	0.3006848607
232	0.2997493193
233	0.298533273
234	0.2975469517
235	0.2964641041
236	0.2955084631
237	0.2941635324
238	0.2926872179
239	0.2919126107
240	0.2906578374
241	0.2894547686
242	0.2879847886
243	0.2865223589
244	0.2859044229
245	0.2844992618
246	0.2838034781
247	0.2830448616
248	0.2822738326
249	0.281747184
250	0.2813577061
251	0.2805082474
252	0.2798949682
253	0.2789409878
254	0.2778408313
255	0.2768972774
256	0.276098804
257	0.2752686574
258	0.2744742587
259	0.274035422
260	0.2725287524
261	0.2712996259
262	0.2703512441
263	0.2694826273
264	0.2685812759
265	0.2678588696
266	0.2667916018
267	0.2657780245
268	0.2649254498
269	0.2637943048
270	0.262877151
271	0.2614175462
272	0.2606124129
273	0.2597564141
274	0.2589024869
275	0.2579222434
276	0.2567632774
277	0.2558941128
278	0.2550324471
279	0.2537900521
280	0.2529534681
281	0.2517576755
282	0.2507895022
283	0.2496841067
284	0.2490365006
285	0.2476250904
286	0.2466280858
287	0.245900218
288	0.2450343235
289	0.2441551947
290	0.2431260546
291	0.241917199
292	0.2414198096
293	0.2410439597
294	0.240295667
295	0.2395239361
296	0.2386296383
297	0.2379742765
298	0.2373306253
299	0.236770968
300	0.2360313555
301	0.2352223358
302	0.2342987788
303	0.2336291213
304	0.2333292187
305	0.2328721826
306	0.2320766882
307	0.2311825275
308	0.2306178881
309	0.2293933842
310	0.2287660489
311	0.2282957101
312	0.2273605282
313	0.2262937741
314	0.2253268334
315	0.2248294269
316	0.2241470487
317	0.2236277961
318	0.2228520932
319	0.2223471022
320	0.2216802354
321	0.2206708183
322	0.220008283
323	0.2195972159
324	0.2190478481
325	0.2181294445
326	0.2175831585
327	0.2167709201
328	0.2163119665
329	0.2157989288
330	0.2151643344
331	0.2146632811
332	0.214277176
333	0.2135019353
334	0.2129702703
335	0.2121353984
336	0.2110839501
337	0.2102602067
338	0.2098273107
339	0.2090516592
340	0.2086545283
341	0.2081909865
342	0.2076272544
343	0.2070077091
344	0.2063983505
345	0.2057108533
346	0.2050671164
347	0.2048281805
348	0.2040972823
349	0.2035797248
350	0.2029041264
351	0.2023362169
352	0.2017589767
353	0.2010707261
354	0.2005748776
355	0.2000387269
356	0.1995466278
357	0.1986922554
358	0.19824907
359	0.1976274873
360	0.1967191335
361	0.1962472881
362	0.1956526704
363	0.1948100428
364	0.1942093645
365	0.1934806235
366	0.1928500011
367	0.1922631733
368	0.1917146958
369	0.1912581392
370	0.1907097473
371	0.1901924807
372	0.1895077399
373	0.1892694888
374	0.1886295698
375	0.188197821
376	0.1875765294
377	0.1869177434
378	0.1862553622
379	0.1855510353
380	0.18473313
381	0.1844308134
382	0.1839752326
383	0.1835460176
384	0.1831469179
385	0.1826153042
386	0.1820617077
387	0.1815982685
388	0.1810450999
389	0.1804381211
390	0.1800345016
391	0.1796205925
392	0.1788688756
393	0.178280798
394	0.177584963
395	0.1769171545
396	0.176524612
397	0.1757082475
398	0.1752554745
399	0.174561557
400	0.1739780335
401	0.1736393355
402	0.1734756277
403	0.1730933234
404	0.1724385437
405	0.1716588345
406	0.171087227
407	0.1706378268
408	0.1702417574
409	0.169782256
410	0.1695056889
411	0.1690049609
412	0.1684624927
413	0.1680915907
414	0.1676706964
415	0.1673036466
416	0.1667114258
417	0.1661474027
418	0.1656930033
419	0.16499032
420	0.1646762928
421	0.1642570592
422	0.1639484079
423	0.1634498714
424	0.1631349711
425	0.1624669742
426	0.1621702218
427	0.1616334549
428	0.1612649155
429	0.1607831059
430	0.1601692788
431	0.1597146397
432	0.1593517501
433	0.1589500652
434	0.1583727565
435	0.1579954856
436	0.1576495969
437	0.1571647398
438	0.1568281305
439	0.1564230556
440	0.1561947174
441	0.1557016424
442	0.1554571251
443	0.1549029464
444	0.1543901141
445	0.1540806068
446	0.1537247368
447	0.1533330674
448	0.1530368971
449	0.1526002004
450	0.1522873888
451	0.1517765425
452	0.1514392826
453	0.1510606763
454	0.15055976
455	0.1500431954
456	0.1495800302
457	0.1494106212
458	0.1487803584
459	0.1482383182
460	0.1478343049
461	0.1472964079
462	0.1469051152
463	0.1464957602
464	0.1461558124
465	0.1456517117
466	0.1452626104
467	0.1449015528
468	0.1444341074
469	0.1440162263
470	0.1435136322
471	0.1429108736
472	0.142501356
473	0.1420785441
474	0.1416150621
475	0.1412560676
476	0.1406738538
477	0.1403023697
478	0.1399884795
479	0.1396677239
480	0.1392399813
481	0.1390095201
482	0.1387825686
483	0.1384028153
484	0.1380170953
485	0.1378726397
486	0.1374898303
487	0.1369885288
488	0.1367216348
489	0.1362077924
490	0.1357625868
491	0.1354920974
492	0.135092467
493	0.134658715
494	0.13399814
495	0.1334043698
496	0.1332165733
497	0.1329049088
498	0.1326837184
